size,density,wind,env_index,plant_tree_proportion,tree_burn_time,plant_burn_time,percolation,percentage burnt down
100,0.05,False,0.25,0.5,3,1,False,0.004291845493562232
100,0.05,False,0.25,0.5,3,1,False,0.004166666666666667
100,0.05,False,0.25,0.5,3,1,False,0.003816793893129771
100,0.05,False,0.25,0.5,3,1,False,0.00390625
100,0.05,False,0.25,0.5,3,1,False,0.00411522633744856
100,0.05,False,0.25,0.5,3,1,False,0.004484304932735426
100,0.05,False,0.25,0.5,3,1,False,0.0037174721189591076
100,0.05,False,0.25,0.5,3,1,False,0.004016064257028112
100,0.05,False,0.25,0.5,3,1,False,0.004201680672268907
100,0.05,False,0.25,0.5,3,1,False,0.004048582995951417
100,0.05,False,0.25,0.5,3,1,False,0.004032258064516129
100,0.05,False,0.25,0.5,3,1,False,0.004081632653061225
100,0.05,False,0.25,0.5,3,1,False,0.0035211267605633804
100,0.05,False,0.25,0.5,3,1,False,0.0035714285714285713
100,0.05,False,0.25,0.5,3,1,False,0.004291845493562232
100,0.05,False,0.25,0.5,3,1,False,0.0038022813688212928
100,0.05,False,0.25,0.5,3,1,False,0.0036101083032490976
100,0.05,False,0.25,0.5,3,1,False,0.003937007874015748
100,0.05,False,0.25,0.5,3,1,False,0.0036231884057971015
100,0.05,False,0.25,0.5,3,1,False,0.004016064257028112
100,0.05,False,0.25,0.5,3,1,False,0.00398406374501992
100,0.05,False,0.25,0.5,3,1,False,0.004166666666666667
100,0.05,False,0.25,0.5,3,1,False,0.00425531914893617
100,0.05,False,0.25,0.5,3,1,False,0.003937007874015748
100,0.05,False,0.25,0.5,3,1,False,0.003816793893129771
100,0.05,True,0.25,0.5,3,1,False,0.003875968992248062
100,0.05,True,0.25,0.5,3,1,False,0.008298755186721992
100,0.05,True,0.25,0.5,3,1,False,0.00423728813559322
100,0.05,True,0.25,0.5,3,1,False,0.0043859649122807015
100,0.05,True,0.25,0.5,3,1,False,0.0038314176245210726
100,0.05,True,0.25,0.5,3,1,False,0.0038022813688212928
100,0.05,True,0.25,0.5,3,1,False,0.004291845493562232
100,0.05,True,0.25,0.5,3,1,False,0.004098360655737705
100,0.05,True,0.25,0.5,3,1,False,0.0037593984962406013
100,0.05,True,0.25,0.5,3,1,False,0.003484320557491289
100,0.05,True,0.25,0.5,3,1,False,0.0038022813688212928
100,0.05,True,0.25,0.5,3,1,False,0.008064516129032258
100,0.05,True,0.25,0.5,3,1,False,0.0043859649122807015
100,0.05,True,0.25,0.5,3,1,False,0.00390625
100,0.05,True,0.25,0.5,3,1,False,0.0037313432835820895
100,0.05,True,0.25,0.5,3,1,False,0.0037735849056603774
100,0.05,True,0.25,0.5,3,1,False,0.0037735849056603774
100,0.05,True,0.25,0.5,3,1,False,0.0038910505836575876
100,0.05,True,0.25,0.5,3,1,False,0.0037174721189591076
100,0.05,True,0.25,0.5,3,1,False,0.0035971223021582736
100,0.05,True,0.25,0.5,3,1,False,0.004424778761061947
100,0.05,True,0.25,0.5,3,1,False,0.0036900369003690036
100,0.05,True,0.25,0.5,3,1,False,0.003663003663003663
100,0.05,True,0.25,0.5,3,1,False,0.0038022813688212928
100,0.05,True,0.25,0.5,3,1,False,0.008097165991902834
100,0.1,False,0.25,0.5,3,1,False,0.001869158878504673
100,0.1,False,0.25,0.5,3,1,False,0.0019157088122605363
100,0.1,False,0.25,0.5,3,1,False,0.0020408163265306124
100,0.1,False,0.25,0.5,3,1,False,0.003861003861003861
100,0.1,False,0.25,0.5,3,1,False,0.001949317738791423
