size,density,wind,env_index,plant_tree_proportion,tree_burn_time,plant_burn_time,percolation,percentage burnt down
200,0.75,False,0.75,0.0,1,1,False,0.001965945819866049
200,0.75,False,0.75,0.0,1,1,False,3.3158697526361164e-05
200,0.75,False,0.75,0.0,1,1,False,9.986684420772304e-05
200,0.75,False,0.75,0.0,1,1,False,0.33532914102221034
200,0.75,False,0.75,0.0,1,1,True,0.7471420524205573
200,0.75,False,0.75,0.0,1,1,True,0.6307610218101781
200,0.75,False,0.75,0.0,1,1,True,0.7812687013764213
200,0.75,False,0.75,0.0,1,1,True,0.7228895672949297
200,0.75,False,0.75,0.0,1,1,True,0.6913177933694676
200,0.75,False,0.75,0.0,1,1,True,0.7336299641386639
200,0.75,False,0.75,0.0,1,1,True,0.717080838824041
200,0.75,False,0.75,0.0,1,1,True,0.7395711760979026
200,0.75,False,0.75,0.0,1,1,True,0.7639487825913885
200,0.75,False,0.75,0.0,1,1,True,0.7587262502911523
200,0.75,False,0.75,0.0,1,1,True,0.7860409225942121
200,0.75,False,0.75,0.0,1,1,True,0.7784573223714992
200,0.75,False,0.75,0.0,1,1,True,0.7964313059689071
200,0.75,False,0.75,0.0,1,1,True,0.7935108153078203
200,0.75,False,0.75,0.0,1,1,True,0.7955863724248283
200,0.75,False,0.75,0.0,1,1,True,0.8020052629825789
200,0.75,False,0.75,0.0,1,1,True,0.6704890163005434
200,0.76,False,0.75,0.0,1,1,False,0.0001641389271879719
200,0.75,False,0.75,0.0,1,1,False,0.0008339170752860336
200,0.75,False,0.75,0.0,1,1,True,0.8216901971230687
200,0.75,False,0.75,0.0,1,1,True,0.7948957776590059
200,0.76,False,0.75,0.0,1,1,False,3.286986819182855e-05
200,0.75,False,0.75,0.0,1,1,False,0.28197452017430064
200,0.76,False,0.75,0.0,1,1,False,0.0013563583432579065
200,0.75,False,0.75,0.0,1,1,True,0.7723054243307536
200,0.75,False,0.75,0.0,1,1,True,0.6721536351165981
200,0.75,False,0.75,0.0,1,1,True,0.7123656808277055
200,0.76,False,0.75,0.0,1,1,False,0.00016381626367865801
200,0.75,False,0.75,0.0,1,1,True,0.7651808354464167
200,0.76,False,0.75,0.0,1,1,True,0.7469950738916256
200,0.76,False,0.75,0.0,1,1,True,0.8492642228353698
200,0.76,False,0.75,0.0,1,1,True,0.798573032965581
200,0.76,False,0.75,0.0,1,1,True,0.8661930330015715
200,0.75,False,0.75,0.0,1,1,True,0.8281546608052752
200,0.76,False,0.75,0.0,1,1,True,0.818013856812933
200,0.76,False,0.75,0.0,1,1,False,6.580246101204185e-05
200,0.76,False,0.75,0.0,1,1,True,0.8207262716308338
200,0.76,False,0.75,0.0,1,1,True,0.7954014670570047
200,0.76,False,0.75,0.0,1,1,True,0.8329952891913112
200,0.76,False,0.75,0.0,1,1,True,0.390680292357046
200,0.76,False,0.75,0.0,1,1,True,0.8556350803126752
200,0.76,False,0.75,0.0,1,1,True,0.8354875842789015
200,0.76,False,0.75,0.0,1,1,True,0.8004086744446641
200,0.76,False,0.75,0.0,1,1,True,0.8350400420112906
200,0.76,False,0.75,0.0,1,1,False,0.009753053986601866
200,0.77,False,0.75,0.0,1,1,False,0.0031161748953159995
200,0.76,False,0.75,0.0,1,1,True,0.7498843128181397
200,0.76,False,0.75,0.0,1,1,True,0.7025021343665857
200,0.76,False,0.75,0.0,1,1,True,0.6195978738155766
200,0.77,False,0.75,0.0,1,1,False,0.00042394990868771195
200,0.76,False,0.75,0.0,1,1,True,0.7629673512374934
200,0.76,False,0.75,0.0,1,1,True,0.6912616883972079
200,0.76,False,0.75,0.0,1,1,True,0.8146659638951114
200,0.76,False,0.75,0.0,1,1,True,0.7932408840870911
200,0.76,False,0.75,0.0,1,1,True,0.8123241883707847
200,0.76,False,0.75,0.0,1,1,True,0.8108196936830342
200,0.76,False,0.75,0.0,1,1,True,0.8195595003287311
200,0.77,False,0.75,0.0,1,1,True,0.8463543363523816
200,0.76,False,0.75,0.0,1,1,True,0.8307585888863269
200,0.77,False,0.75,0.0,1,1,True,0.8321452983107118
200,0.77,False,0.75,0.0,1,1,True,0.8703325884905599
200,0.77,False,0.75,0.0,1,1,True,0.8487934613388687
200,0.77,False,0.75,0.0,1,1,False,3.248229714805431e-05
200,0.77,False,0.75,0.0,1,1,True,0.8674722276359385
200,0.77,False,0.75,0.0,1,1,False,0.000292169848071679
200,0.77,False,0.75,0.0,1,1,True,0.8508817259866933
200,0.77,False,0.75,0.0,1,1,True,0.8506042099792099
200,0.77,False,0.75,0.0,1,1,True,0.8627248361158653
200,0.77,False,0.75,0.0,1,1,True,0.8454090477903896
200,0.77,False,0.75,0.0,1,1,True,0.852061989365841
200,0.77,False,0.75,0.0,1,1,False,3.2597711640642824e-05
200,0.77,False,0.75,0.0,1,1,False,3.250975292587776e-05
200,0.77,False,0.75,0.0,1,1,True,0.8579385382597714
200,0.78,False,0.75,0.0,1,1,False,3.197748784855462e-05
200,0.77,False,0.75,0.0,1,1,True,0.8364528498082797
200,0.77,False,0.75,0.0,1,1,True,0.8088810641627543
200,0.77,False,0.75,0.0,1,1,True,0.8441833213983465
200,0.77,False,0.75,0.0,1,1,True,0.8696484172288531
200,0.77,False,0.75,0.0,1,1,True,0.8656760096247642
200,0.77,False,0.75,0.0,1,1,True,0.8391790075344245
200,0.77,False,0.75,0.0,1,1,True,0.8240566344093005
200,0.78,False,0.75,0.0,1,1,False,0.0004783926008611067
200,0.77,False,0.75,0.0,1,1,True,0.8595677008957548
200,0.77,False,0.75,0.0,1,1,True,0.8741844386016165
200,0.77,False,0.75,0.0,1,1,True,0.8555295189741587
200,0.77,False,0.75,0.0,1,1,True,0.8075184546844005
200,0.77,False,0.75,0.0,1,1,True,0.847224469978961
200,0.77,False,0.75,0.0,1,1,True,0.8520865834633385
200,0.78,False,0.75,0.0,1,1,True,0.8872093768013835
200,0.78,False,0.75,0.0,1,1,True,0.8431404004106776
200,0.78,False,0.75,0.0,1,1,False,9.618159084351255e-05
200,0.78,False,0.75,0.0,1,1,True,0.8838845883180858
200,0.78,False,0.75,0.0,1,1,True,0.8707709018881186
