size,density,wind,env_index,percolation,percentage burnt down
50,0.6,False,0.6,False,0.0053156146179402
50,0.6,False,0.6,False,0.007417397167902899
50,0.6,False,0.8,False,0.03151674326986211
50,0.6,False,0.8,False,0.14802631578947367
50,0.6,True,0.6,False,0.2360655737704918
50,0.6,True,0.6,False,0.3614058355437666
50,0.6,True,0.8,False,0.3528654217643271
50,0.6,True,0.8,False,0.739101717305152
50,0.8,False,0.6,False,0.01154039136979428
50,0.8,False,0.6,False,0.01655795283492223
50,0.8,False,0.8,True,0.9191402251791198
50,0.8,False,0.8,False,0.0005149330587023687
50,0.8,True,0.6,True,0.9064676616915422
50,0.8,True,0.6,True,0.9103139013452914
50,0.8,True,0.8,True,0.9950396825396826
50,0.8,True,0.8,True,0.9900049975012494
100,0.6,False,0.6,False,0.007018716577540107
100,0.6,False,0.6,False,0.000496031746031746
100,0.6,False,0.8,False,0.0008264462809917355
100,0.6,False,0.8,False,0.004426229508196721
100,0.6,True,0.6,False,0.0006664445184938354
100,0.6,True,0.6,False,0.20561835106382978
100,0.6,True,0.8,False,0.30171124771556734
100,0.6,True,0.8,False,0.5227235167740869
100,0.8,False,0.6,False,0.05559057103239632
100,0.8,False,0.6,False,0.0016350144635894855
100,0.8,False,0.8,True,0.9531856302415822
100,0.8,False,0.8,True,0.9570583049993704
100,0.8,True,0.6,True,0.9623184777165749
100,0.8,True,0.6,True,0.97371385655276
100,0.8,True,0.8,True,0.9961361086875233
100,0.8,True,0.8,True,0.998375812093953
